KO	Function	Pathway	Enzyme	Modules	Hyperlink
K01826	hpaF, hpcD; 5-carboxymethyl-2-hydroxymuconate isomerase	map00350(Tyrosine metabolism); map01120(Microbial metabolism in diverse environments); map01220(Degradation of aromatic compounds)	EC:5.3.3.10	M00533	http://rest.kegg.jp/get/K01826
K01827	DCT; dopachrome tautomerase	map00350(Tyrosine metabolism); map01100(Metabolic pathways); map04916(Melanogenesis)	EC:5.3.3.12		http://rest.kegg.jp/get/K01827
K01829	E5.3.4.1; protein disulfide-isomerase		EC:5.3.4.1		http://rest.kegg.jp/get/K01829
K01830	PTGDS; prostaglandin-H2 D-isomerase	map00590(Arachidonic acid metabolism); map01100(Metabolic pathways)	EC:5.3.99.2		http://rest.kegg.jp/get/K01830
K01831	PTGIS, CYP8A; prostacyclin synthase	map00590(Arachidonic acid metabolism); map01100(Metabolic pathways)	EC:5.3.99.4		http://rest.kegg.jp/get/K01831
K01832	TBXAS1, CYP5A; thromboxane-A synthase	map00590(Arachidonic acid metabolism); map01100(Metabolic pathways); map04611(Platelet activation)	EC:5.3.99.5		http://rest.kegg.jp/get/K01832
K01833	TRYS; trypanothione synthetase/amidase	map00480(Glutathione metabolism); map01100(Metabolic pathways)	EC:6.3.1.9		http://rest.kegg.jp/get/K01833
K01834	PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	map00010(Glycolysis / Gluconeogenesis); map00260(Glycine, serine and threonine metabolism); map00680(Methane metabolism); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics); map01200(Carbon metabolism); map01230(Biosynthesis of amino acids); map04922(Glucagon signaling pathway); map05230(Central carbon metabolism in cancer)	EC:5.4.2.11	M00001 M00002 M00003	http://rest.kegg.jp/get/K01834
K01835	pgm; phosphoglucomutase	map00010(Glycolysis / Gluconeogenesis); map00030(Pentose phosphate pathway); map00052(Galactose metabolism); map00230(Purine metabolism); map00500(Starch and sucrose metabolism); map00520(Amino sugar and nucleotide sugar metabolism); map00521(Streptomycin biosynthesis); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics)	EC:5.4.2.2	M00549	http://rest.kegg.jp/get/K01835
K01836	PGM3; phosphoacetylglucosamine mutase	map00520(Amino sugar and nucleotide sugar metabolism); map01100(Metabolic pathways); map01130(Biosynthesis of antibiotics)	EC:5.4.2.3		http://rest.kegg.jp/get/K01836
K01837	BPGM; bisphosphoglycerate/phosphoglycerate mutase	map00010(Glycolysis / Gluconeogenesis); map00260(Glycine, serine and threonine metabolism); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics)	EC:5.4.2.4 EC:5.4.2.11		http://rest.kegg.jp/get/K01837
K01838	pgmB; beta-phosphoglucomutase	map00500(Starch and sucrose metabolism)	EC:5.4.2.6		http://rest.kegg.jp/get/K01838
K01839	deoB; phosphopentomutase	map00030(Pentose phosphate pathway); map00230(Purine metabolism)	EC:5.4.2.7		http://rest.kegg.jp/get/K01839
K01840	manB; phosphomannomutase	map00051(Fructose and mannose metabolism); map00520(Amino sugar and nucleotide sugar metabolism); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01130(Biosynthesis of antibiotics)	EC:5.4.2.8	M00114	http://rest.kegg.jp/get/K01840
K01841	pepM; phosphoenolpyruvate phosphomutase	map00440(Phosphonate and phosphinate metabolism); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics)	EC:5.4.2.9		http://rest.kegg.jp/get/K01841
K01843	kamA; lysine 2,3-aminomutase	map00310(Lysine degradation)	EC:5.4.3.2		http://rest.kegg.jp/get/K01843
K01844	kamD; beta-lysine 5,6-aminomutase alpha subunit	map00310(Lysine degradation)	EC:5.4.3.3		http://rest.kegg.jp/get/K01844
K01845	hemL; glutamate-1-semialdehyde 2,1-aminomutase	map00860(Porphyrin and chlorophyll metabolism); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01120(Microbial metabolism in diverse environments)	EC:5.4.3.8	M00121	http://rest.kegg.jp/get/K01845
K01846	glmS, mutS, mamA; methylaspartate mutase sigma subunit	map00630(Glyoxylate and dicarboxylate metabolism); map00660(C5-Branched dibasic acid metabolism); map01100(Metabolic pathways); map01200(Carbon metabolism)	EC:5.4.99.1	M00740	http://rest.kegg.jp/get/K01846
K01847	MUT; methylmalonyl-CoA mutase	map00280(Valine, leucine and isoleucine degradation); map00630(Glyoxylate and dicarboxylate metabolism); map00640(Propanoate metabolism); map00720(Carbon fixation pathways in prokaryotes); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map01200(Carbon metabolism)	EC:5.4.99.2	M00373 M00376 M00741	http://rest.kegg.jp/get/K01847
K01848	E5.4.99.2A, mcmA1; methylmalonyl-CoA mutase, N-terminal domain	map00280(Valine, leucine and isoleucine degradation); map00630(Glyoxylate and dicarboxylate metabolism); map00640(Propanoate metabolism); map00720(Carbon fixation pathways in prokaryotes); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map01200(Carbon metabolism)	EC:5.4.99.2	M00375 M00376 M00741	http://rest.kegg.jp/get/K01848
K01849	E5.4.99.2B, mcmA2; methylmalonyl-CoA mutase, C-terminal domain	map00280(Valine, leucine and isoleucine degradation); map00630(Glyoxylate and dicarboxylate metabolism); map00640(Propanoate metabolism); map00720(Carbon fixation pathways in prokaryotes); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map01200(Carbon metabolism)	EC:5.4.99.2	M00375 M00376 M00741	http://rest.kegg.jp/get/K01849
K01850	E5.4.99.5; chorismate mutase	map00400(Phenylalanine, tyrosine and tryptophan biosynthesis); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01130(Biosynthesis of antibiotics); map01230(Biosynthesis of amino acids)	EC:5.4.99.5	M00024 M00025	http://rest.kegg.jp/get/K01850
K01851	pchA; salicylate biosynthesis isochorismate synthase	map00130(Ubiquinone and other terpenoid-quinone biosynthesis); map01053(Biosynthesis of siderophore group nonribosomal peptides); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01130(Biosynthesis of antibiotics)	EC:5.4.4.2	M00116	http://rest.kegg.jp/get/K01851
K01852	LSS, ERG7; lanosterol synthase	map00100(Steroid biosynthesis); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01130(Biosynthesis of antibiotics)	EC:5.4.99.7	M00101	http://rest.kegg.jp/get/K01852
K01853	CAS1; cycloartenol synthase	map00100(Steroid biosynthesis); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites)	EC:5.4.99.8		http://rest.kegg.jp/get/K01853
K01854	glf; UDP-galactopyranose mutase	map00052(Galactose metabolism); map00520(Amino sugar and nucleotide sugar metabolism)	EC:5.4.99.9		http://rest.kegg.jp/get/K01854
K01855	PUS3, DEG1; tRNA pseudouridine38/39 synthase		EC:5.4.99.45		http://rest.kegg.jp/get/K01855
K01856	catB; muconate cycloisomerase	map00361(Chlorocyclohexane and chlorobenzene degradation); map00362(Benzoate degradation); map00364(Fluorobenzoate degradation); map00623(Toluene degradation); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map01220(Degradation of aromatic compounds)	EC:5.5.1.1	M00568	http://rest.kegg.jp/get/K01856
K01857	pcaB; 3-carboxy-cis,cis-muconate cycloisomerase	map00362(Benzoate degradation); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map01220(Degradation of aromatic compounds)	EC:5.5.1.2		http://rest.kegg.jp/get/K01857
K01858	INO1, ISYNA1; myo-inositol-1-phosphate synthase	map00521(Streptomycin biosynthesis); map00562(Inositol phosphate metabolism); map01100(Metabolic pathways); map01130(Biosynthesis of antibiotics)	EC:5.5.1.4		http://rest.kegg.jp/get/K01858
K01859	E5.5.1.6; chalcone isomerase	map00941(Flavonoid biosynthesis); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites)	EC:5.5.1.6	M00137	http://rest.kegg.jp/get/K01859
K01860	E5.5.1.7; chloromuconate cycloisomerase	map00361(Chlorocyclohexane and chlorobenzene degradation); map00364(Fluorobenzoate degradation); map00623(Toluene degradation); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments)	EC:5.5.1.7		http://rest.kegg.jp/get/K01860
K01865	hab; (hydroxyamino)benzene mutase	map00627(Aminobenzoate degradation); map01120(Microbial metabolism in diverse environments)	EC:5.4.4.1		http://rest.kegg.jp/get/K01865
K01866	YARS, tyrS; tyrosyl-tRNA synthetase	map00970(Aminoacyl-tRNA biosynthesis)	EC:6.1.1.1	M00359 M00360	http://rest.kegg.jp/get/K01866
K01867	WARS, trpS; tryptophanyl-tRNA synthetase	map00970(Aminoacyl-tRNA biosynthesis)	EC:6.1.1.2	M00359 M00360	http://rest.kegg.jp/get/K01867
K01868	TARS, thrS; threonyl-tRNA synthetase	map00970(Aminoacyl-tRNA biosynthesis)	EC:6.1.1.3	M00359 M00360	http://rest.kegg.jp/get/K01868
K01869	LARS, leuS; leucyl-tRNA synthetase	map00970(Aminoacyl-tRNA biosynthesis)	EC:6.1.1.4	M00359 M00360	http://rest.kegg.jp/get/K01869
K01870	IARS, ileS; isoleucyl-tRNA synthetase	map00970(Aminoacyl-tRNA biosynthesis)	EC:6.1.1.5	M00359 M00360	http://rest.kegg.jp/get/K01870
K01872	AARS, alaS; alanyl-tRNA synthetase	map00970(Aminoacyl-tRNA biosynthesis)	EC:6.1.1.7	M00359 M00360	http://rest.kegg.jp/get/K01872
K01873	VARS, valS; valyl-tRNA synthetase	map00970(Aminoacyl-tRNA biosynthesis)	EC:6.1.1.9	M00359 M00360	http://rest.kegg.jp/get/K01873
K01874	MARS, metG; methionyl-tRNA synthetase	map00450(Selenocompound metabolism); map00970(Aminoacyl-tRNA biosynthesis)	EC:6.1.1.10	M00359 M00360	http://rest.kegg.jp/get/K01874
K01875	SARS, serS; seryl-tRNA synthetase	map00970(Aminoacyl-tRNA biosynthesis)	EC:6.1.1.11	M00359 M00360	http://rest.kegg.jp/get/K01875
K01876	aspS; aspartyl-tRNA synthetase	map00970(Aminoacyl-tRNA biosynthesis)	EC:6.1.1.12	M00359 M00360	http://rest.kegg.jp/get/K01876
K01878	glyQ; glycyl-tRNA synthetase alpha chain	map00970(Aminoacyl-tRNA biosynthesis)	EC:6.1.1.14	M00360	http://rest.kegg.jp/get/K01878
K01879	glyS; glycyl-tRNA synthetase beta chain	map00970(Aminoacyl-tRNA biosynthesis)	EC:6.1.1.14	M00360	http://rest.kegg.jp/get/K01879
K01880	GARS, glyS1; glycyl-tRNA synthetase	map00970(Aminoacyl-tRNA biosynthesis)	EC:6.1.1.14	M00359 M00360	http://rest.kegg.jp/get/K01880
K01881	PARS, proS; prolyl-tRNA synthetase	map00970(Aminoacyl-tRNA biosynthesis)	EC:6.1.1.15	M00359 M00360	http://rest.kegg.jp/get/K01881
K01883	CARS, cysS; cysteinyl-tRNA synthetase	map00970(Aminoacyl-tRNA biosynthesis)	EC:6.1.1.16	M00359 M00360	http://rest.kegg.jp/get/K01883
K01884	cysS1; cysteinyl-tRNA synthetase, unknown class	map00970(Aminoacyl-tRNA biosynthesis)	EC:6.1.1.16	M00360	http://rest.kegg.jp/get/K01884
K01885	EARS, gltX; glutamyl-tRNA synthetase	map00860(Porphyrin and chlorophyll metabolism); map00970(Aminoacyl-tRNA biosynthesis); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01120(Microbial metabolism in diverse environments)	EC:6.1.1.17	M00121 M00359 M00360	http://rest.kegg.jp/get/K01885
K01886	QARS, glnS; glutaminyl-tRNA synthetase	map00970(Aminoacyl-tRNA biosynthesis); map01100(Metabolic pathways)	EC:6.1.1.18	M00359 M00360	http://rest.kegg.jp/get/K01886
K01887	RARS, argS; arginyl-tRNA synthetase	map00970(Aminoacyl-tRNA biosynthesis)	EC:6.1.1.19	M00359 M00360	http://rest.kegg.jp/get/K01887
K01889	FARSA, pheS; phenylalanyl-tRNA synthetase alpha chain	map00970(Aminoacyl-tRNA biosynthesis)	EC:6.1.1.20	M00359 M00360	http://rest.kegg.jp/get/K01889
K01890	FARSB, pheT; phenylalanyl-tRNA synthetase beta chain	map00970(Aminoacyl-tRNA biosynthesis)	EC:6.1.1.20	M00359 M00360	http://rest.kegg.jp/get/K01890
K01892	HARS, hisS; histidyl-tRNA synthetase	map00970(Aminoacyl-tRNA biosynthesis)	EC:6.1.1.21	M00359 M00360	http://rest.kegg.jp/get/K01892
K01893	NARS, asnS; asparaginyl-tRNA synthetase	map00970(Aminoacyl-tRNA biosynthesis)	EC:6.1.1.22	M00359 M00360	http://rest.kegg.jp/get/K01893
K01894	gluQ; glutamyl-Q tRNA(Asp) synthetase		EC:6.1.1.-		http://rest.kegg.jp/get/K01894
K01895	ACSS, acs; acetyl-CoA synthetase	map00010(Glycolysis / Gluconeogenesis); map00620(Pyruvate metabolism); map00640(Propanoate metabolism); map00680(Methane metabolism); map00720(Carbon fixation pathways in prokaryotes); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics); map01200(Carbon metabolism)	EC:6.2.1.1	M00357	http://rest.kegg.jp/get/K01895
K01896	ACSM; medium-chain acyl-CoA synthetase	map00650(Butanoate metabolism); map01100(Metabolic pathways)	EC:6.2.1.2		http://rest.kegg.jp/get/K01896
K01897	ACSL, fadD; long-chain acyl-CoA synthetase	map00061(Fatty acid biosynthesis); map00071(Fatty acid degradation); map01100(Metabolic pathways); map01212(Fatty acid metabolism); map02024(Quorum sensing); map03320(PPAR signaling pathway); map04146(Peroxisome); map04216(Ferroptosis); map04714(Thermogenesis); map04920(Adipocytokine signaling pathway)	EC:6.2.1.3	M00086	http://rest.kegg.jp/get/K01897
K01899	LSC1; succinyl-CoA synthetase alpha subunit	map00020(Citrate cycle (TCA cycle)); map00640(Propanoate metabolism); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics); map01200(Carbon metabolism)	EC:6.2.1.4 EC:6.2.1.5	M00009 M00011	http://rest.kegg.jp/get/K01899
K01900	LSC2; succinyl-CoA synthetase beta subunit	map00020(Citrate cycle (TCA cycle)); map00640(Propanoate metabolism); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics); map01200(Carbon metabolism)	EC:6.2.1.4 EC:6.2.1.5	M00009 M00011	http://rest.kegg.jp/get/K01900
K01902	sucD; succinyl-CoA synthetase alpha subunit	map00020(Citrate cycle (TCA cycle)); map00640(Propanoate metabolism); map00660(C5-Branched dibasic acid metabolism); map00720(Carbon fixation pathways in prokaryotes); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics); map01200(Carbon metabolism)	EC:6.2.1.5	M00009 M00011 M00173 M00374 M00620	http://rest.kegg.jp/get/K01902
K01903	sucC; succinyl-CoA synthetase beta subunit	map00020(Citrate cycle (TCA cycle)); map00640(Propanoate metabolism); map00660(C5-Branched dibasic acid metabolism); map00720(Carbon fixation pathways in prokaryotes); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics); map01200(Carbon metabolism)	EC:6.2.1.5	M00009 M00011 M00173 M00374 M00620	http://rest.kegg.jp/get/K01903
K01904	4CL; 4-coumarate--CoA ligase	map00130(Ubiquinone and other terpenoid-quinone biosynthesis); map00360(Phenylalanine metabolism); map00940(Phenylpropanoid biosynthesis); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites)	EC:6.2.1.12	M00039 M00137 M00350	http://rest.kegg.jp/get/K01904
K01905	acdA; acetate---CoA ligase (ADP-forming) subunit alpha	map00010(Glycolysis / Gluconeogenesis); map00620(Pyruvate metabolism); map00640(Propanoate metabolism); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments)	EC:6.2.1.13		http://rest.kegg.jp/get/K01905
K01906	bioW; 6-carboxyhexanoate--CoA ligase	map00780(Biotin metabolism); map01100(Metabolic pathways)	EC:6.2.1.14	M00577	http://rest.kegg.jp/get/K01906
K01907	AACS, acsA; acetoacetyl-CoA synthetase	map00280(Valine, leucine and isoleucine degradation); map00650(Butanoate metabolism)	EC:6.2.1.16		http://rest.kegg.jp/get/K01907
K01908	prpE; propionyl-CoA synthetase	map00640(Propanoate metabolism); map01100(Metabolic pathways)	EC:6.2.1.17		http://rest.kegg.jp/get/K01908
K01909	mbtM; long-chain-fatty-acid--[acyl-carrier-protein] ligase	map00071(Fatty acid degradation)	EC:6.2.1.20		http://rest.kegg.jp/get/K01909
K01910	citC; [citrate (pro-3S)-lyase] ligase	map02020(Two-component system)	EC:6.2.1.22		http://rest.kegg.jp/get/K01910
K01911	menE; O-succinylbenzoic acid---CoA ligase	map00130(Ubiquinone and other terpenoid-quinone biosynthesis); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites)	EC:6.2.1.26	M00116	http://rest.kegg.jp/get/K01911
K01912	paaK; phenylacetate-CoA ligase	map00360(Phenylalanine metabolism); map01120(Microbial metabolism in diverse environments); map05111(Biofilm formation - Vibrio cholerae)	EC:6.2.1.30		http://rest.kegg.jp/get/K01912
K01914	asnA; aspartate--ammonia ligase	map00250(Alanine, aspartate and glutamate metabolism); map00460(Cyanoamino acid metabolism); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01230(Biosynthesis of amino acids)	EC:6.3.1.1		http://rest.kegg.jp/get/K01914
K01915	glnA, GLUL; glutamine synthetase	map00220(Arginine biosynthesis); map00250(Alanine, aspartate and glutamate metabolism); map00630(Glyoxylate and dicarboxylate metabolism); map00910(Nitrogen metabolism); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map01230(Biosynthesis of amino acids); map02020(Two-component system); map04217(Necroptosis); map04724(Glutamatergic synapse); map04727(GABAergic synapse)	EC:6.3.1.2		http://rest.kegg.jp/get/K01915
K01916	nadE; NAD+ synthase	map00760(Nicotinate and nicotinamide metabolism); map01100(Metabolic pathways)	EC:6.3.1.5	M00115	http://rest.kegg.jp/get/K01916
K01917	E6.3.1.8; glutathionylspermidine synthase	map00480(Glutathione metabolism); map01100(Metabolic pathways)	EC:6.3.1.8		http://rest.kegg.jp/get/K01917
K01918	panC; pantoate--beta-alanine ligase	map00410(beta-Alanine metabolism); map00770(Pantothenate and CoA biosynthesis); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites)	EC:6.3.2.1	M00119	http://rest.kegg.jp/get/K01918
K01919	gshA; glutamate--cysteine ligase	map00270(Cysteine and methionine metabolism); map00480(Glutathione metabolism); map01100(Metabolic pathways)	EC:6.3.2.2	M00118	http://rest.kegg.jp/get/K01919
K01920	gshB; glutathione synthase	map00270(Cysteine and methionine metabolism); map00480(Glutathione metabolism); map01100(Metabolic pathways)	EC:6.3.2.3	M00118	http://rest.kegg.jp/get/K01920
K01921	ddl; D-alanine-D-alanine ligase	map00473(D-Alanine metabolism); map00550(Peptidoglycan biosynthesis); map01100(Metabolic pathways); map01502(Vancomycin resistance)	EC:6.3.2.4		http://rest.kegg.jp/get/K01921
K01922	PPCS, COAB; phosphopantothenate---cysteine ligase (ATP)	map00770(Pantothenate and CoA biosynthesis); map01100(Metabolic pathways)	EC:6.3.2.51	M00120	http://rest.kegg.jp/get/K01922
K01923	purC; phosphoribosylaminoimidazole-succinocarboxamide synthase	map00230(Purine metabolism); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01130(Biosynthesis of antibiotics)	EC:6.3.2.6	M00048	http://rest.kegg.jp/get/K01923
K01924	murC; UDP-N-acetylmuramate--alanine ligase	map00471(D-Glutamine and D-glutamate metabolism); map00550(Peptidoglycan biosynthesis); map01100(Metabolic pathways)	EC:6.3.2.8		http://rest.kegg.jp/get/K01924
K01925	murD; UDP-N-acetylmuramoylalanine--D-glutamate ligase	map00471(D-Glutamine and D-glutamate metabolism); map00550(Peptidoglycan biosynthesis); map01100(Metabolic pathways)	EC:6.3.2.9		http://rest.kegg.jp/get/K01925
K01926	rex; redox-sensing transcriptional repressor				http://rest.kegg.jp/get/K01926
K01928	murE; UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	map00300(Lysine biosynthesis); map00550(Peptidoglycan biosynthesis)	EC:6.3.2.13		http://rest.kegg.jp/get/K01928
K01929	murF; UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	map00300(Lysine biosynthesis); map00550(Peptidoglycan biosynthesis); map01100(Metabolic pathways); map01502(Vancomycin resistance)	EC:6.3.2.10		http://rest.kegg.jp/get/K01929
K01930	FPGS; folylpolyglutamate synthase	map00790(Folate biosynthesis); map01100(Metabolic pathways); map01523(Antifolate resistance)	EC:6.3.2.17		http://rest.kegg.jp/get/K01930
K01931	NEUR; protein neuralized		EC:2.3.2.27		http://rest.kegg.jp/get/K01931
K01932	capB, pgsB; gamma-polyglutamate synthase		EC:6.3.2.-		http://rest.kegg.jp/get/K01932
K01933	purM; phosphoribosylformylglycinamidine cyclo-ligase	map00230(Purine metabolism); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01130(Biosynthesis of antibiotics)	EC:6.3.3.1	M00048	http://rest.kegg.jp/get/K01933
K01934	MTHFS; 5-formyltetrahydrofolate cyclo-ligase	map00670(One carbon pool by folate); map01100(Metabolic pathways)	EC:6.3.3.2		http://rest.kegg.jp/get/K01934
K01935	bioD; dethiobiotin synthetase	map00780(Biotin metabolism); map01100(Metabolic pathways)	EC:6.3.3.3	M00123 M00573 M00577	http://rest.kegg.jp/get/K01935
K01937	pyrG, CTPS; CTP synthase	map00240(Pyrimidine metabolism); map01100(Metabolic pathways)	EC:6.3.4.2	M00052	http://rest.kegg.jp/get/K01937
K01938	fhs; formate--tetrahydrofolate ligase	map00670(One carbon pool by folate); map00720(Carbon fixation pathways in prokaryotes); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map01200(Carbon metabolism)	EC:6.3.4.3	M00140 M00377	http://rest.kegg.jp/get/K01938
K01939	purA, ADSS; adenylosuccinate synthase	map00230(Purine metabolism); map00250(Alanine, aspartate and glutamate metabolism); map01100(Metabolic pathways)	EC:6.3.4.4	M00049	http://rest.kegg.jp/get/K01939
K01940	argG, ASS1; argininosuccinate synthase	map00220(Arginine biosynthesis); map00250(Alanine, aspartate and glutamate metabolism); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01130(Biosynthesis of antibiotics); map01230(Biosynthesis of amino acids); map05418(Fluid shear stress and atherosclerosis)	EC:6.3.4.5	M00029 M00844 M00845	http://rest.kegg.jp/get/K01940
K01941	E6.3.4.6; urea carboxylase	map00220(Arginine biosynthesis); map00791(Atrazine degradation); map01100(Metabolic pathways)	EC:6.3.4.6		http://rest.kegg.jp/get/K01941
K01942	HLCS; biotin---protein ligase	map00780(Biotin metabolism); map01100(Metabolic pathways)	EC:6.3.4.9 EC:6.3.4.10 EC:6.3.4.11 EC:6.3.4.15		http://rest.kegg.jp/get/K01942
K01945	purD; phosphoribosylamine---glycine ligase	map00230(Purine metabolism); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01130(Biosynthesis of antibiotics)	EC:6.3.4.13	M00048	http://rest.kegg.jp/get/K01945
K01946	ACACB; acetyl-CoA carboxylase / biotin carboxylase 2	map00061(Fatty acid biosynthesis); map00254(Aflatoxin biosynthesis); map00620(Pyruvate metabolism); map00640(Propanoate metabolism); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map04152(AMPK signaling pathway); map04910(Insulin signaling pathway); map04920(Adipocytokine signaling pathway); map04922(Glucagon signaling pathway); map04931(Insulin resistance)	EC:6.4.1.2 EC:6.3.4.14 EC:2.1.3.15		http://rest.kegg.jp/get/K01946
K01947	birA-coaX; biotin---[acetyl-CoA-carboxylase] ligase / type III pantothenate kinase	map00770(Pantothenate and CoA biosynthesis); map00780(Biotin metabolism); map01100(Metabolic pathways)	EC:6.3.4.15 EC:2.7.1.33	M00120	http://rest.kegg.jp/get/K01947
K01948	CPS1; carbamoyl-phosphate synthase (ammonia)	map00220(Arginine biosynthesis); map00250(Alanine, aspartate and glutamate metabolism); map00910(Nitrogen metabolism); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map01200(Carbon metabolism); map01230(Biosynthesis of amino acids)	EC:6.3.4.16	M00029	http://rest.kegg.jp/get/K01948
K01949	gmaS; glutamate---methylamine ligase		EC:6.3.4.12		http://rest.kegg.jp/get/K01949
K01950	E6.3.5.1, NADSYN1, QNS1, nadE; NAD+ synthase (glutamine-hydrolysing)	map00760(Nicotinate and nicotinamide metabolism); map01100(Metabolic pathways)	EC:6.3.5.1	M00115	http://rest.kegg.jp/get/K01950
K01951	guaA, GMPS; GMP synthase (glutamine-hydrolysing)	map00230(Purine metabolism); map00983(Drug metabolism - other enzymes); map01100(Metabolic pathways)	EC:6.3.5.2	M00050	http://rest.kegg.jp/get/K01951
K01952	purL, PFAS; phosphoribosylformylglycinamidine synthase	map00230(Purine metabolism); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01130(Biosynthesis of antibiotics)	EC:6.3.5.3	M00048	http://rest.kegg.jp/get/K01952
K01953	asnB, ASNS; asparagine synthase (glutamine-hydrolysing)	map00250(Alanine, aspartate and glutamate metabolism); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites)	EC:6.3.5.4		http://rest.kegg.jp/get/K01953
K01954	K01954; carbamoyl-phosphate synthase	map00240(Pyrimidine metabolism); map00250(Alanine, aspartate and glutamate metabolism); map01100(Metabolic pathways)	EC:6.3.5.5	M00051	http://rest.kegg.jp/get/K01954
K01955	carB, CPA2; carbamoyl-phosphate synthase large subunit	map00240(Pyrimidine metabolism); map00250(Alanine, aspartate and glutamate metabolism); map01100(Metabolic pathways)	EC:6.3.5.5	M00051	http://rest.kegg.jp/get/K01955
K01956	carA, CPA1; carbamoyl-phosphate synthase small subunit	map00240(Pyrimidine metabolism); map00250(Alanine, aspartate and glutamate metabolism); map01100(Metabolic pathways)	EC:6.3.5.5	M00051	http://rest.kegg.jp/get/K01956
K01958	PC, pyc; pyruvate carboxylase	map00020(Citrate cycle (TCA cycle)); map00620(Pyruvate metabolism); map00720(Carbon fixation pathways in prokaryotes); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map01200(Carbon metabolism); map01230(Biosynthesis of amino acids)	EC:6.4.1.1	M00173	http://rest.kegg.jp/get/K01958
K01959	pycA; pyruvate carboxylase subunit A	map00020(Citrate cycle (TCA cycle)); map00620(Pyruvate metabolism); map00720(Carbon fixation pathways in prokaryotes); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map01200(Carbon metabolism); map01230(Biosynthesis of amino acids)	EC:6.4.1.1	M00173 M00620	http://rest.kegg.jp/get/K01959
K01960	pycB; pyruvate carboxylase subunit B	map00020(Citrate cycle (TCA cycle)); map00620(Pyruvate metabolism); map00720(Carbon fixation pathways in prokaryotes); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map01200(Carbon metabolism); map01230(Biosynthesis of amino acids)	EC:6.4.1.1	M00173 M00620	http://rest.kegg.jp/get/K01960
